Contract,Name ,Chain,Standard,Weight
0xdac17f958d2ee523a2206206994597c13d831ec7,Tether,ETHEREUM,ERC-20,
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,usd coin,ETHEREUM,ERC-20,
0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,shiba inu ,ETHEREUM,ERC-20,
0x6b175474e89094c44da98b954eedeac495271d0f,dai,ETHEREUM,ERC-20,
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,Wrapped Bitcoin,ETHEREUM,ERC-20,
0x514910771af9ca656af840dff83e8264ecf986ca,Chainlink,ETHEREUM,ERC-20,
0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,"UNUS SED LEO
",ETHEREUM,ERC-20,
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,ETHEREUM,ERC-20,
0x75231f58b43240c9718dd58b4967c5114342a86c,OKB,ETHEREUM,ERC-20,
0x582d872a1b094fc48f5de31d3b73f2d9be47def1,Toncoin,ETHEREUM,ERC-20,
0x0000000000085d4780B73119b644AE5ecd22b376,TrueUSD,ETHEREUM,ERC-20,
0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,Cronos,ETHEREUM,ERC-20,
0x5a98fcbea516cf06857215779fd812ca3bef1b32,Lido DAO,ETHEREUM,ERC-20,
0x4d224452801aced8b2f0aebe155379bb5d594381,ApeCoin,ETHEREUM,ERC-20,
0x4a220e6096b25eadb88358cb44068a3248254675,Quant,ETHEREUM,ERC-20,
0xc944e90c64b2c07662a292be6244bdf05cda44a7,The Graph,ETHEREUM,ERC-20,
0x4e15361fd6b4bb609fa63c81a2be19d873717870,Fantom,ETHEREUM,ERC-20,
0x3845badAde8e6dFF049820680d1F14bD3903a5d0,The Sandbox,ETHEREUM,ERC-20,
0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,Aave,ETHEREUM,ERC-20,
0x0f5d2fb29fb7d3cfee444a200298f468908cc942,Decentraland,ETHEREUM,ERC-20,
0x8e870d67f660d95d5be530380d0ec0bd388289e1,Pax Dollar,ETHEREUM,ERC-20,
0xd33526068d116ce69f19a9ee46f0bd304f21a51f,"Rocket Pool
",ETHEREUM,ERC-20,
0x3506424f91fd33084466f402d5d97f05f8e3b4af,Chiliz,ETHEREUM,ERC-20,
0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,"Axie Infinity
",ETHEREUM,ERC-20,
0x1A4b46696b2bB4794Eb3D4c26f1c55F9170fa4C5,BitDAO,ETHEREUM,ERC-20,
0x5c147e74D63B1D31AA3Fd78Eb229B65161983B2b,Flow,ETHEREUM,ERC-20,
0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,Immutable,ETHEREUM,ERC-20,
0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24,Render Token,ETHEREUM,ERC-20,
0xf34960d9d60be18cc1d5afc1a6f012a723a28811,KuCoin Token,ETHEREUM,ERC-20,
0x0c10bf8fcb7bf5412187a595ab97a3609160b5c6,USDD,ETHEREUM,ERC-20,
0xD533a949740bb3306d119CC777fa900bA034cd52,Curve DAO Token,ETHEREUM,ERC-20,
0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,Maker,ETHEREUM,ERC-20,
0xe28b3b32b6c345a34ff64674606124dd5aceca30,Injective,ETHEREUM,ERC-20,
0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,Synthetix,ETHEREUM,ERC-20,
0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,"Frax Share
",ETHEREUM,ERC-20,
0x45804880de22913dafe09f4980848ece6ecbaf78,PAX Gold,ETHEREUM,ERC-20,
0xe66747a101bff2dba3697199dcce5b743b454759,"GateToken
",ETHEREUM,ERC-20,
0x056Fd409E1d7A124BD7017459dFEa2F387b6d5Cd,Gemini Dollar,ETHEREUM,ERC-20,
0x4691937a7508860f876c9c0a2a617e7d9e945d4b,"WOO Network
",ETHEREUM,ERC-20,
0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,Loopring,ETHEREUM,ERC-20,
0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,Convex Finance,ETHEREUM,ERC-20,
0x0C356B7fD36a5357E5A017EF11887ba100C9AB76,Kava,ETHEREUM,ERC-20,
0x92d6c1e31e14520e676a687f0a93788b716beff5,dYdx,ETHEREUM,ERC-20,
0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206,Nexo,ETHEREUM,ERC-20,
0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,Enjin Coin,ETHEREUM,ERC-20,
0xc221b7e65ffc80de234bbb6667abdd46593d34f0,Wrapped Centrifuge,ETHEREUM,ERC-20,
0x0d438f3b5175bebc262bf23753c1e53d03432bde,Wrapped NXM,ETHEREUM,ERC-20,
0xdf4ef6ee483953fe3b84abd08c6a060445c01170,Wrapped Accumulate,ETHEREUM,ERC-20,
0x6982508145454ce325ddbe47a25d4ec3d2311933,Pepe,ETHEREUM,ERC-20,
0x5b7533812759b45c2b44c19e320ba2cd2681b542,SingularityNET,ETHEREUM,ERC-20,
0x5026f006b85729a8b14553fae6af249ad16c9aab,Wojak ,ETHEREUM,ERC-20,